순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
138,051600,한전KPS,"31,100","-100","-0.3","115,619","3,576,823,900","31,300","31,350","30,150","1,399,500,000,000","0.09","45,000,000",,,
139,051915,LG화학우,"182,000","-2,000","-1.1","8,570","1,547,356,500","183,500","183,500","179,000","1,399,361,600,000","0.09","7,688,800",,,
140,064350,현대로템,"16,250","-1,150","-6.6","1,011,062","16,695,372,600","16,900","17,000","16,200","1,381,250,000,000","0.09","85,000,000",,,
141,034230,파라다이스,"15,100","-550","-3.5","311,099","4,736,695,300","15,550","15,600","15,100","1,373,234,347,200","0.09","90,942,672",,,
142,010120,LS산전,"45,200","-450","-1.0","50,340","2,281,213,550","45,650","45,850","44,700","1,356,000,000,000","0.09","30,000,000",,,
143,009240,한샘,"57,000","-10,800","-15.9","646,872","37,587,643,200","65,000","65,400","55,700","1,341,433,896,000","0.09","23,533,928",,,
144,056190,에스에프에이,"37,000","-1,600","-4.2","158,263","5,916,732,950","38,350","38,450","37,000","1,328,624,120,000","0.08","35,908,760",,,
145,020560,아시아나항공,"6,000","-160","-2.6","2,172,966","13,159,332,380","6,080","6,220","6,000","1,327,411,764,000","0.08","221,235,294",,,
146,009420,한올바이오파마,"25,250","-1,000","-3.8","218,377","5,568,596,200","26,600","26,600","25,200","1,319,076,109,500","0.08","52,240,638",,,
147,068760,셀트리온제약,"38,400","-1,750","-4.4","101,598","3,953,192,650","39,850","40,000","38,400","1,308,513,062,400","0.08","34,075,861",,,
148,214320,이노션,"65,300","-1,900","-2.8","25,986","1,714,644,700","66,500","67,600","65,100","1,306,000,000,000","0.08","20,000,000",,,
149,139130,DGB금융지주,"7,680","-90","-1.2","963,120","7,403,740,460","7,730","7,780","7,650","1,299,039,997,440","0.08","169,145,833",,,
150,000670,영풍,"688,000","-17,000","-2.4","1,003","696,802,000","700,000","708,000","683,000","1,267,323,520,000","0.08","1,842,040",,,
151,031430,신세계인터내셔날,"177,000","-4,500","-2.5","18,282","3,278,678,500","180,500","183,500","177,000","1,263,780,000,000","0.08","7,140,000",,,
152,042670,두산인프라코어,"6,070","-240","-3.8","1,238,776","7,610,145,770","6,300","6,310","6,060","1,263,538,963,530","0.08","208,161,279",,,
153,073240,금호타이어,"4,395","-115","-2.6","377,865","1,657,560,585","4,440","4,515","4,310","1,262,508,961,365","0.08","287,260,287",,,
154,161890,한국콜마,"54,900","-1,400","-2.5","75,068","4,150,610,400","55,800","56,900","54,600","1,256,176,782,000","0.08","22,881,180",,,
155,004000,롯데정밀화학,"48,500","-2,100","-4.2","77,286","3,769,168,150","50,500","50,600","48,350","1,251,300,000,000","0.08","25,800,000",,,
156,034020,두산중공업,"6,140","-260","-4.1","1,899,977","12,007,304,140","6,500","6,560","6,100","1,241,181,812,500","0.08","202,146,875",,,
157,001740,SK네트웍스,"5,000","-80","-1.6","751,232","3,777,764,790","5,070","5,150","4,975","1,240,938,235,000","0.08","248,187,647",,,
158,181710,NHN,"62,200","-1,400","-2.2","76,558","4,808,037,000","63,100","64,900","61,800","1,216,944,555,000","0.08","19,565,025",,,
159,006280,녹십자,"103,500","-3,500","-3.3","37,734","3,943,647,500","107,000","108,000","103,500","1,209,556,683,000","0.08","11,686,538",,,
160,005300,롯데칠성,"151,000","-2,000","-1.3","10,096","1,521,561,000","151,000","153,000","149,000","1,207,012,460,000","0.08","7,993,460",,,
161,005440,현대그린푸드,"12,300","-250","-2.0","96,252","1,193,695,800","12,600","12,650","12,300","1,201,765,128,600","0.08","97,704,482",,,
