종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
105560,KB금융,"38,950","-300","0.76","39,000","38,950","829,589","32,449,534,100","39,450","39,500","38,950","5,000",원(KRW),"418,111,537","16,285,444,366,150",
024120,KB오토시스,"5,470","110","2.05","5,470","5,450","1,882","10,116,520","5,400","5,470","5,350","500",원(KRW),"11,500,000","62,905,000,000",
002380,KCC,"224,500","0","0.00","224,500","224,000","11,074","2,488,885,000","224,000","227,000","222,500","5,000",원(KRW),"10,556,513","2,369,937,168,500",
021320,KCC건설,"6,240","100","1.63","6,240","6,210","21,529","133,583,930","6,050","6,300","6,050","5,000",원(KRW),"21,400,000","133,536,000,000",
036670,KCI,"9,450","220","2.38","9,690","9,450","75,591","728,519,810","9,340","9,780","9,210","500",원(KRW),"11,270,000","106,501,500,000",
009070,KCTC,"2,910","25","0.87","2,930","2,910","30,390","88,535,225","2,830","2,990","2,830","500",원(KRW),"30,000,000","87,300,000,000",
009440,KC그린홀딩스,"3,705","30","0.82","3,710","3,705","31,082","114,310,765","3,600","3,730","3,600","500",원(KRW),"22,434,980","83,121,600,900",
112190,KC산업,"2,800","-100","3.45","2,800","2,605","1,254","3,499,895","2,800","2,800","2,770","500",원(KRW),"6,982,659","19,551,445,200",
119650,KC코트렐,"5,950","50","0.85","5,950","5,940","47,050","279,039,950","5,800","6,050","5,800","500",원(KRW),"13,000,000","77,350,000,000",
044180,KD,"495","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"78,353,304","38,784,885,480",
092220,KEC,"1,070","5","0.47","1,075","1,070","522,143","558,595,560","1,055","1,080","1,055","500",원(KRW),"116,706,940","124,876,425,800",
151860,KG ETS,"3,200","-10","0.31","3,200","3,195","34,865","111,167,485","3,210","3,250","3,165","500",원(KRW),"36,000,000","115,200,000,000",
046440,KG모빌리언스,"5,800","220","3.94","5,810","5,800","70,473","400,116,590","5,530","5,850","5,500","500",원(KRW),"29,906,957","173,460,350,600",
035600,KG이니시스,"13,550","0","0.00","13,600","13,550","117,158","1,582,570,550","13,600","13,700","13,250","500",원(KRW),"27,904,434","378,105,080,700",
001390,KG케미칼,"10,450","100","0.97","10,450","10,400","45,626","473,529,500","10,350","10,500","10,150","5,000",원(KRW),"13,013,232","135,988,274,400",
060720,KH바텍,"8,170","180","2.25","8,170","8,160","84,430","679,563,380","7,930","8,170","7,830","500",원(KRW),"21,135,782","172,679,338,940",
001940,KISCO홀딩스,"11,950","-100","0.83","11,950","11,900","15,922","188,941,750","12,050","12,100","11,500","1,000",원(KRW),"18,476,380","220,792,741,000",
083470,KJ프리텍,"387","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"24,704,729","9,560,730,123",
122450,KMH,"5,470","-10","0.18","5,490","5,470","48,485","265,260,530","5,430","5,520","5,400","500",원(KRW),"22,639,663","123,838,956,610",
052900,KMH하이텍,"1,035","15","1.47","1,035","1,030","803,912","822,816,385","1,020","1,035","1,005","500",원(KRW),"46,885,499","48,526,491,465",
058400,KNN,"923","-2","0.22","924","923","384,262","354,914,069","925","939","914","500",원(KRW),"132,429,720","122,232,631,560",
114450,KPX생명과학,"3,870","85","2.25","3,875","3,870","204,011","788,424,200","3,740","3,985","3,700","500",원(KRW),"15,000,000","58,050,000,000",
025000,KPX케미칼,"54,200","-1,800","3.21","54,600","54,200","888","48,767,900","56,600","56,600","54,200","5,000",원(KRW),"4,840,000","262,328,000,000",
092230,KPX홀딩스,"53,900","300","0.56","53,900","53,600","222","11,917,100","53,500","53,900","53,500","5,000",원(KRW),"4,224,646","227,708,419,400",
000040,KR모터스,"496","-6","1.20","498","496","451,244","224,378,890","496","507","494","500",원(KRW),"189,444,075","93,964,261,200",
044450,KSS해운,"7,010","40","0.57","7,010","7,000","18,492","128,846,650","6,970","7,010","6,900","500",원(KRW),"23,185,880","162,533,018,800",
030200,KT,"26,850","-150","0.56","26,850","26,800","523,158","14,048,485,750","26,950","27,000","26,800","5,000",원(KRW),"261,111,808","7,010,852,044,800",
033780,KT&G,"100,000","400","0.40","100,500","100,000","273,841","27,429,878,500","100,000","100,500","99,800","5,000",원(KRW),"137,292,497","13,729,249,700,000",
